BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
2357,235726,2357,Brick 2 x 2 Corner,11,0,Black,Solid Colors,8,1.25
2357,235721,2357,Brick 2 x 2 Corner,5,4,Red,Solid Colors,4,1.25
2412b,4210631,2412b,"Tile, Modified 1 x 2 Grille with Bottom Groove / Lip",85,72,Dark Bluish Gray,Solid Colors,1,0.23
2412b,4619636,2412b,"Tile, Modified 1 x 2 Grille with Bottom Groove / Lip",95,179,Flat Silver,Pearl Colors,12,0.23
2412b,6228922,2412b,"Tile, Modified 1 x 2 Grille with Bottom Groove / Lip",68,484,Dark Orange,Solid Colors,38,0.23
2412b,241226,2412b,"Tile, Modified 1 x 2 Grille with Bottom Groove / Lip",11,0,Black,Solid Colors,108,0.23
2420,242026,2420,Plate 2 x 2 Corner,11,0,Black,Solid Colors,16,0.54
2420,242021,2420,Plate 2 x 2 Corner,5,4,Red,Solid Colors,2,0.54
24201,6147050,24201,"Slope, Curved 2 x 1 Inverted",11,0,Black,Solid Colors,6,0.36
24201,6186398,24201,"Slope, Curved 2 x 1 Inverted",5,4,Red,Solid Colors,2,0.36
24201,6215212,24201,"Slope, Curved 2 x 1 Inverted",85,72,Dark Bluish Gray,Solid Colors,6,0.36
24299,6143423,24299,"Wedge, Plate 2 x 2 Left",85,72,Dark Bluish Gray,Solid Colors,4,0.44
24299,6141554,24299,"Wedge, Plate 2 x 2 Left",11,0,Black,Solid Colors,15,0.44
24307,6143417,24307,"Wedge, Plate 2 x 2 Right",85,72,Dark Bluish Gray,Solid Colors,4,0.44
24307,6141556,24307,"Wedge, Plate 2 x 2 Right",11,0,Black,Solid Colors,11,0.44
2431,243126,2431,Tile 1 x 4,11,0,Black,Solid Colors,40,0.54
2431,6074893,2431,Tile 1 x 4,68,484,Dark Orange,Solid Colors,44,0.54
2432,243226,2432,"Tile, Modified 1 x 2 with Bar Handle",11,0,Black,Solid Colors,4,0.58
2445,4255035,2445,Plate 2 x 12,5,4,Red,Solid Colors,2,3.5
2445,244526,2445,Plate 2 x 12,11,0,Black,Solid Colors,2,3.5
2450,6071231,2450,"Wedge, Plate 3 x 3 Cut Corner",68,484,Dark Orange,Solid Colors,2,1.08
2450,4210897,2450,"Wedge, Plate 3 x 3 Cut Corner",85,72,Dark Bluish Gray,Solid Colors,6,1.08
2450,4227684,2450,"Wedge, Plate 3 x 3 Cut Corner",11,0,Black,Solid Colors,6,1.08
2456,4181144,2456,Brick 2 x 6,11,0,Black,Solid Colors,6,3.74
